959,539,0.033
959,539,0.033
959,539,0.067
959,539,0.1
1711,805,0.133
1743,796,0.167
1770,752,0.2
1791,778,0.233
1751,791,0.266
1756,792,0.3
1735,797,0.333
1678,818,0.366
1629,833,0.4
1571,849,0.433
1507,865,0.466
1437,880,0.5
1360,895,0.533
1279,908,0.566
1194,918,0.599
1106,926,0.633
1016,930,0.666
924,931,0.699
833,929,0.733
744,923,0.766
656,914,0.799
573,902,0.833
494,888,0.866
421,873,0.899
354,857,0.933
293,841,0.966
241,826,0.999
197,811,1.032
161,799,1.066
134,790,1.099
116,783,1.132
106,780,1.166
106,780,1.199
113,784,1.232
130,790,1.266
155,800,1.299
189,812,1.332
231,825,1.366
280,841,1.399
338,857,1.432
402,873,1.466
472,889,1.499
549,903,1.532
631,915,1.565
717,924,1.599
806,931,1.632
897,934,1.665
989,934,1.699
1081,931,1.732
1172,924,1.765
1260,914,1.799
1343,901,1.832
1423,886,1.865
1496,871,1.899
1562,854,1.932
1621,837,1.965
1672,822,1.998
1714,807,2.032
1747,796,2.065
1763,792,2.098
1786,781,2.132
1807,768,2.165
1794,775,2.198
1748,790,2.232
1753,792,2.265
1723,802,2.298
1684,815,2.332
1638,830,2.365
1583,846,2.398
1521,861,2.432
1453,877,2.465
1378,892,2.498
1299,904,2.531
1215,916,2.565
1128,924,2.598
1039,929,2.631
949,931,2.665
858,929,2.698
769,924,2.731
682,916,2.765
597,906,2.798
517,892,2.831
443,878,2.865
375,862,2.898
313,846,2.931
259,831,2.964
213,816,2.998
175,804,3.031
146,794,3.064
126,787,3.098
114,782,3.131
111,781,3.164
117,784,3.198
131,789,3.231
154,798,3.264
186,810,3.298
225,824,3.331
272,839,3.364
328,855,3.397
390,870,3.431
459,886,3.464
534,900,3.497
614,912,3.531
699,922,3.564
786,929,3.597
876,933,3.631
967,934,3.664
1058,931,3.697
1148,925,3.731
1236,916,3.764
1320,904,3.797
1399,890,3.83
1473,874,3.864
1541,858,3.897
1601,842,3.93
1653,826,3.964
1696,811,3.997
1731,800,4.03
1757,790,4.064
1774,784,4.097
1782,780,4.13
1780,780,4.164
1770,784,4.197
1750,791,4.23
1723,802,4.263
1686,814,4.297
1642,828,4.33
1590,843,4.363
1530,858,4.397
1464,874,4.43
1391,888,4.463
1314,902,4.497
1232,913,4.53
1147,922,4.563
1058,928,4.597
969,931,4.63
878,930,4.663
789,926,4.696
702,919,4.73
617,909,4.763
537,897,4.796
461,883,4.83
392,868,4.863
329,853,4.896
273,837,4.93
225,822,4.963
186,810,4.996
155,799,5.03
132,791,5.063
119,786,5.096
114,784,5.129
133,745,5.163
131,791,5.196
152,799,5.229
181,809,5.263
220,822,5.296
265,837,5.329
318,853,5.363
379,868,5.396
447,884,5.429
520,898,5.463
599,910,5.496
682,920,5.529
768,928,5.562
858,932,5.596
948,934,5.629
1039,931,5.662
1128,926,5.696
1216,918,5.729
1300,907,5.762
1379,893,5.796
1454,878,5.829
1523,862,5.862
1584,846,5.896
1637,830,5.929
1682,816,5.962
1718,803,5.996
1746,792,6.029
1765,785,6.062
1774,782,6.095
1775,782,6.129
1767,785,6.162
1749,791,6.195
1723,799,6.229
1689,811,6.262
1647,824,6.295
1597,839,6.329
1539,855,6.362
1475,871,6.395
1404,885,6.429
1328,899,6.462
1248,911,6.495
1164,920,6.528
1077,927,6.562
988,930,6.595
898,930,6.628
809,927,6.662
722,921,6.695
