64,876,5.346
67,877,5.363
73,880,5.38
81,883,5.396
91,886,5.413
104,889,5.43
119,894,5.446
136,899,5.463
155,904,5.479
177,911,5.496
200,917,5.513
225,925,5.53
252,933,5.546
281,940,5.563
313,946,5.58
346,953,5.596
380,961,5.613
416,968,5.629
454,975,5.646
493,981,5.663
534,987,5.679
575,993,5.696
618,998,5.713
662,1002,5.729
706,1006,5.746
751,1009,5.763
797,1011,5.779
844,1012,5.796
891,1013,5.813
938,1013,5.829
985,1012,5.846
1032,1011,5.863
1078,1008,5.879
1124,1004,5.896
1170,1000,5.913
1215,995,5.929
1259,990,5.946
1303,984,5.963
1344,978,5.979
1385,971,5.996
1424,963,6.013
1463,956,6.029
1499,947,6.046
1534,939,6.063
1567,932,6.079
1598,923,6.096
1627,915,6.113
1655,909,6.129
1679,901,6.146
1702,894,6.162
1723,888,6.179
1742,882,6.196
1758,877,6.212
1772,872,6.229
1784,869,6.246
1793,866,6.262
1799,863,6.279
1804,861,6.296
1806,860,6.312
1806,861,6.329
1803,862,6.346
1798,864,6.362
1790,867,6.379
1781,870,6.396
1768,875,6.412
1754,880,6.429
1737,885,6.446
1718,892,6.462
1697,898,6.479
1674,906,6.495
1648,913,6.512
1621,921,6.529
1591,929,6.546
1560,937,6.562
1526,946,6.579
1491,953,6.596
1455,962,6.612
1416,969,6.629
1377,976,6.645
1336,984,6.662
1293,990,6.679
1250,996,6.695
1205,1001,6.712
1160,1006,6.729
1114,1010,6.745
1068,1013,6.762
1021,1015,6.779
973,1016,6.795
926,1016,6.812
878,1016,6.829
831,1016,6.845
784,1014,6.862
738,1013,6.879
692,1010,6.895
648,1006,6.912
604,1001,6.929
561,996,6.945
519,990,6.962
478,984,6.979
439,977,6.995
402,970,7.012
366,963,7.029
332,955,7.045
300,948,7.062
269,941,7.079
241,933,7.095
215,926,7.112
191,919,7.128
168,913,7.145
148,907,7.162
130,901,7.178
115,896,7.195
102,892,7.212
91,888,7.228
82,885,7.245
76,883,7.262
72,881,7.278
70,880,7.295
70,880,7.312
73,880,7.328
78,883,7.345
85,885,7.362
95,887,7.378
106,891,7.395
121,895,7.412
137,900,7.428
155,906,7.445
175,911,7.462
197,917,7.478
222,924,7.495
249,931,7.511
277,937,7.528
307,945,7.545
339,952,7.562
373,958,7.578
408,965,7.595
444,972,7.612
483,979,7.628
523,985,7.645
563,990,7.661
606,995,7.678
649,999,7.695
693,1003,7.711
737,1007,7.728
783,1009,7.745
829,1011,7.761
875,1011,7.778
922,1012,7.795
968,1011,7.811
1015,1010,7.828
1061,1007,7.845
1107,1004,7.861
1153,1001,7.878
1198,996,7.895
1242,991,7.911
1285,985,7.928
1327,979,7.945
1368,972,7.961
1407,965,7.978
1446,958,7.995
1483,950,8.011
1518,942,8.028
1551,933,8.045
1583,925,8.061
1613,918,8.078
1640,910,8.094
1666,903,8.111
1689,896,8.128
1711,889,8.144
1730,884,8.161
1747,878,8.178
1761,873,8.194
1774,870,8.211
1784,866,8.228
1791,864,8.244
1797,862,8.261
1799,862,8.278
1800,861,8.294
1798,862,8.311
1794,864,8.328
1787,867,8.344
1778,870,8.361
1767,874,8.378
1753,878,8.394
1737,884,8.411
1719,890,8.428
1698,896,8.444
1676,903,8.461
1651,910,8.478
1624,917,8.494
1596,925,8.511
1565,934,8.527
1533,942,8.544
1499,950,8.561
1463,958,8.578
1425,966,8.594
1386,973,8.611
1346,980,8.627
1304,987,8.644
1261,993,8.661
1217,998,8.677
1173,1004,8.694
1128,1008,8.711
1081,1011,8.727
1035,1012,8.744
988,1014,8.761
942,1014,8.777
894,1015,8.794
847,1014,8.811
801,1013,8.827
754,1011,8.844
709,1008,8.861
665,1004,8.877
620,1001,8.894
578,995,8.911
536,990,8.927
495,984,8.944
456,977,8.961
419,971,8.977
383,963,8.994
348,956,9.011
316,949,9.027
285,941,9.044
256,934,9.06
229,927,9.077
204,920,9.094
182,913,9.11
161,907,9.127
143,901,9.144
127,896,9.16
113,892,9.177
101,888,9.194
92,885,9.21
84,882,9.227
80,881,9.244
77,879,9.26
77,879,9.277
79,879,9.294
83,881,9.31
